,mod_title,rating,books,img
0,between two fires american indians in the civil war,3.52,histori militari histori laurenc m hauptman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387738765l/1001053.jpg
1,fashion sourcebook 1920s,4.51,coutur fashion charlott fiellemmanuel dirix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421011497l/10010552.jpg
2,hungary 56,4.15,polit histori andi anderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348117708l/1001077.jpg
3,allamerican anarchist joseph a labadie and the labor movement,3.83,labor histori carlotta r anderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356461214l/1001079.jpg
5,the human equation building profits by putting people first,3.73,busi leadership jeffrey pfeffer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400939083l/1001090.jpg
6,competitive advantage through people unleashing the power of the work force,3.65,busi leadership jeffrey pfeffer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387741596l/1001092.jpg
7,hawaii an uncommon history,3.93,histori nonfict edward joest,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387732755l/1001126.jpg
9,genuine happiness meditation as the path to fulfillment,4.1,religion buddhism b alan wallacedalai lama xiv,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369869651l/100114.jpg
11,anthropological studies of religion an introductory text,3.69,anthropolog religion brian morri,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349098767l/1001204.jpg
12,anarchism and ecology,3.59,biolog ecolog graham purchas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347303609l/1001209.jpg
13,happiness lessons from a new science,3.73,psycholog nonfict richard layard,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309287208l/100120.jpg
14,anarchism environmental survival,3.44,biolog ecolog graham purchas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1279302196l/1001220.jpg
15,dressed to rule royal and court costume from louis xiv to elizabeth ii,3.58,histori coutur philip mansel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328871490l/1001221.jpg
17,after long silence,4.0,autobiographi memoir helen fremont,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320538977l/1001282.jpg
18,the principles of psychology volume 1,4.17,psycholog philosophi william jame,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389225696l/1001304.jpg
19,islands,3.62,histor histor fiction dan sleighandr brink,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876739l/1001309.jpg
20,character strengths and virtues a handbook and classification,4.25,psycholog philosophi christoph petersonmartin ep seligman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348620946l/100130.jpg
21,parnassus on wheels,4.03,fiction write christoph morley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465495291l/1001312._SY475_.jpg
22,the accidental president of brazil a memoir,4.14,histori cultur fernando henriqu cardosobrian winter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437014640l/1001322._SY475_.jpg
23,the shining path a history of the millenarian war in peru,3.95,histori nonfict gustavo gorriti,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348583091l/1001325.jpg
24,irrational exuberance,3.98,econom econom robert j shiller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384376065l/100132.jpg
25,jane austen and the war of ideas,3.96,critic literari critic marilyn butler,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420787916l/1001337.jpg
26,the canal house,3.79,fiction cultur mark lee,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874804l/1001341.jpg
28,toward rational exuberance the evolution of the modern stock market,3.73,econom financ b mark smith,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311994684l/100135.jpg
29,wild men wild alaska finding what lies beyond the limits,4.11,nonfict natur rocki mcelveen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380855834l/1001369.jpg
30,the milk farm an erotic novel,3.46,erotica gay erotica luc miln,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378148722l/1001377.jpg
31,naked ambition women who are changing pornography,3.54,nonfict sociolog carli minecarli mine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348423970l/1001379.jpg
32,algeria frances undeclared war,4.3,histori cultur martin evan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348010302l/10013840.jpg
33,paul his story,3.73,religion religion jerom murphyoconnor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348064280l/1001384.jpg
35,earth magic a book of shadows for positive witches,4.12,religion wicca marion weinstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348388412l/1001409.jpg
37,the art of love,3.81,poetri classic oviddavid maloufjam michi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320447371l/100142.jpg
40,the transsexual empire the making of the shemale,2.83,femin nonfict janic g raymond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346281085l/1001441.jpg
41,halo contact harvest,3.98,scienc fiction fiction joseph staten,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442897143l/1001442._SY475_.jpg
42,the red rose girls an uncommon story of art and love,4.31,art biographi alic a carter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442345883l/100144._SX318_.jpg
43,k the art of love,3.19,fiction histor hong yingnicki harmanhenri zhao,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353574312l/100145.jpg
45,a passion for friends toward a philosophy of female affection,4.33,femin nonfict janic g raymond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180124846l/1001466.jpg
46,christ formed in you the power of the gospel for personal change,4.13,religion theolog brian g hedgesdonald s whitney,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348918035l/10014709.jpg
49,big country volume one ride you tonto raiders and war party,3.58,western fiction loui lamour,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347667068l/1001486.jpg
50,i want a pony,3.82,anim hors jeann betancourtrobert s brown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433347230l/1001505._SX318_.jpg
51,a pony for keeps,3.83,anim hors jeann betancourtrobert s brown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433346869l/1001506._SX318_.jpg
52,ponysitters,3.72,anim hors jeann betancourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387743353l/1001508.jpg
53,the winning pony,3.75,anim hors jeann betancourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387706291l/1001509.jpg
54,zen and the art of falling in love,4.24,nonfict spiritu brenda shoshanna,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347967062l/100150.jpg
55,unlucky pony,3.69,anim hors jeann betancourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387713425l/1001517.jpg
56,the pony and the bear,3.77,anim hors jeann betancourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387665224l/1001518.jpg
57,the saddest pony,3.77,anim hors jeann betancourtpaul bachem,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387740088l/1001520.jpg
58,nightwing love and bullets,3.95,sequenti art comic chuck dixonscott mcdanielkarl stori,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509633546l/1001530.jpg
59,stolen ponies,3.79,fiction anim jeann betancourtvivien kubbo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387751133l/1001534.jpg
60,the pony and the lost swan,3.74,children anim jeann betancourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180125465l/1001541._SX318_.jpg
61,ponies from the past,3.94,anim hors jeann betancourtpaul bachem,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387706140l/1001545.jpg
62,the magic pony,3.76,anim hors jeann betancourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390612767l/1001546.jpg
63,web design on a shoestring,2.97,design websit design carri bickner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347941296l/1001561.jpg
64,medieval art of love objects and subjects of desire,4.11,art art histori michael camil,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439119335l/100156._SX318_.jpg
65,the glass dog,3.67,romanc m m romanc ar jarvi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371645351l/10015760.jpg
66,the luck factor changing your luck changing your life the four essential principles,3.82,psycholog nonfict richard wiseman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348976729l/100158.jpg
67,harry potter and the methods of rationality,4.4,fantasi fiction eliez yudkowski,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293582551l/10016013.jpg
68,fairytales slashed 2,4.13,fantasi romanc megan derrsasha l miller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378159122l/10016060.jpg
69,india,3.61,scienc geographi sunita apt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348941937l/10016224.jpg
70,black baby white hands a view from the crib,3.73,parent adopt jaiya john,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347424006l/1001622.jpg
71,the 21 most powerful minutes in a leaders day revitalize your spirit and empower your leadership,4.05,leadership busi john c maxwel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431939937l/1001623._SX318_.jpg
73,what is biodynamics a way to heal and revitalize the earth,3.74,scienc agricultur rudolf steiner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348343810l/1001653.jpg
75,gatecrashing,4.29,game role play game rob boylebrian crossjm hardyolivia hillken hornerevan jamiesonjam knevittt luikartphil masterssteven mohanmalcolm sheppardjohn sneadtobia woltermichel lyon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348016137l/10016845.jpg
76,cthulhutech vade mecum,4.09,game role play game sandstorm product,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348038476l/10016848.jpg
78,the sentimental bloke,4.06,poetri cultur cj denni,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293259585l/10017049.jpg
79,the end of the bronze age changes in warfare and the catastrophe ca 1200 bc,3.98,histori nonfict robert drew,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387664154l/1001744.jpg
80,minoans life in bronze age crete,3.93,histori nonfict rodney castleden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348827100l/1001745.jpg
81,the aegean bronze age,3.69,histori nonfict oliv dickinson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420791445l/1001746.jpg
82,open meim a dog,4.11,children pictur book art spiegelman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347909495l/100175.jpg
